Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Amen Thompson,23,HOU,PG,72,72,2684,18.5,.585,.116,.370,9.1,14.2,11.7,20.2,2.0,1.5,13.7,20.0,5.5,3.4,8.8,.158,1.4,0.9,2.3,2.9,,thompam01
2,Kevin Durant,37,HOU,SF,71,71,2586,20.9,.637,.327,.336,1.6,14.7,8.2,20.1,1.2,2.2,13.6,27.1,6.5,2.9,9.3,.174,4.1,0.1,4.2,4.0,AS,duranke01
3,Desmond Bane,27,ORL,SG,74,74,2525,17.0,.609,.351,.277,3.9,9.7,6.8,19.4,1.4,1.1,10.7,23.3,4.7,2.1,6.8,.129,1.7,-0.4,1.2,2.0,,banede01
4,Toumani Camara,25,POR,PF,76,76,2518,11.0,.574,.663,.166,5.0,12.1,8.5,10.6,1.6,1.1,13.9,16.2,1.6,2.4,4.0,.077,-1.2,-0.1,-1.3,0.4,,camarto01
5,Mikal Bridges,29,NYK,SF,75,75,2503,15.3,.583,.435,.097,3.3,10.0,6.6,16.2,2.0,2.4,7.6,17.4,4.3,3.2,7.5,.143,1.3,1.5,2.7,3.0,,bridgmi01
6,Jamal Murray,28,DEN,PG,71,71,2496,22.0,.621,.406,.294,1.4,12.2,7.1,31.9,1.3,0.9,10.1,28.2,7.4,1.6,9.0,.173,5.5,-1.4,4.1,3.8,AS,murraja01
7,Julius Randle,31,MIN,PF,75,75,2479,18.4,.582,.285,.405,5.6,16.6,11.2,23.2,1.6,0.6,13.1,26.5,4.1,3.1,7.2,.138,1.3,0.0,1.4,2.1,,randlju01
8,Jabari Smith Jr.,22,HOU,PF,70,70,2465,13.6,.569,.494,.217,4.8,16.9,10.9,7.5,1.1,2.4,9.0,18.0,3.2,2.9,6.1,.118,-0.5,-0.1,-0.6,0.9,,smithja05
9,Scottie Barnes,24,TOR,PF,72,72,2441,19.4,.580,.203,.261,6.5,19.4,12.9,25.5,2.0,4.3,14.1,23.6,3.2,4.0,7.2,.142,1.8,2.3,4.1,3.8,AS,barnesc01
10,Derrick White,31,BOS,SG,71,71,2434,16.4,.524,.572,.188,3.7,10.5,7.1,23.0,1.7,4.0,9.9,22.8,3.2,3.3,6.5,.128,2.2,1.0,3.3,3.2,,whitede01
