Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,62,62,36.0,10.9,22.9,.476,4.0,10.9,.366,6.9,12.0,.576,.563,7.9,10.1,.776,0.7,7.2,7.8,8.2,1.6,0.5,4.0,2.4,33.7,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,64,64,33.5,10.8,19.6,.553,1.7,4.4,.382,9.1,15.2,.602,.596,8.3,9.4,.880,0.5,3.8,4.4,6.5,1.4,0.8,2.2,2.1,31.6,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,59,58,35.3,10.0,20.4,.493,3.4,8.5,.404,6.6,11.9,.556,.577,5.8,7.3,.797,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.9,29.3,AS,edwaran01
4,Tyrese Maxey,25,PHI,PG,63,63,38.4,10.0,21.8,.461,3.3,8.8,.372,6.8,13.0,.521,.536,5.4,6.1,.893,0.3,3.9,4.2,6.7,2.0,0.8,2.4,2.2,28.8,AS,maxeyty01
5,Jaylen Brown,29,BOS,SF,66,66,34.4,10.3,21.7,.474,1.9,5.7,.342,8.4,16.1,.520,.518,6.0,7.6,.796,1.2,5.9,7.1,5.2,1.0,0.4,3.6,2.7,28.6,AS,brownja02
6,Kawhi Leonard,34,LAC,SF,59,59,32.0,9.8,19.5,.503,2.6,6.9,.384,7.2,12.6,.568,.571,5.9,6.5,.899,1.1,5.3,6.3,3.6,1.9,0.4,2.1,1.3,28.2,AS,leonaka01
7,Donovan Mitchell,29,CLE,SG,66,66,33.6,9.7,20.2,.479,3.3,9.0,.365,6.4,11.2,.572,.561,5.3,6.2,.861,0.7,3.7,4.5,5.7,1.5,0.3,2.8,2.3,28.0,AS,mitchdo01
8,Nikola Jokić,30,DEN,C,60,60,34.9,10.0,17.4,.573,1.8,4.7,.388,8.2,12.8,.641,.625,6.1,7.4,.828,2.9,10.0,12.9,10.8,1.4,0.8,3.8,2.8,27.9,AS,jokicni01
9,Giannis Antetokounmpo,31,MIL,PF,36,36,28.9,10.4,16.6,.624,0.4,1.3,.333,9.9,15.4,.647,.636,6.4,9.9,.650,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,antetgi01
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,.468,4.5,11.5,.391,4.4,7.6,.584,.585,4.9,5.2,.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS,curryst01
11,Joel Embiid,31,PHI,C,36,36,31.3,9.1,18.4,.495,1.4,4.1,.340,7.7,14.3,.539,.533,7.3,8.6,.854,1.9,5.6,7.4,3.9,0.6,1.1,2.9,2.1,26.9,,embiijo01
